,AnimalType,AgeInDays,Breed,Color
20784,Dog,90,Labrador Retriever Mix,Black/White
20785,Cat,365,Domestic Shorthair Mix,Black
20786,Dog,1095,Black Mouth Cur Mix,Tan
20787,Dog,240,Black Mouth Cur Mix,Brown/Black
20788,Dog,365,Plott Hound Mix,Brown Brindle/White
20789,Cat,730,Domestic Shorthair Mix,Brown Tabby/White
20790,Dog,150,Rat Terrier Mix,White/Black
20791,Dog,365,Blue Lacy Mix,Red/White
20792,Cat,30,Domestic Medium Hair Mix,Calico
20793,Dog,365,Flat Coat Retriever Mix,Black
20794,Dog,2190,Miniature Schnauzer Mix,Gray/White
20795,Cat,60,Domestic Shorthair Mix,Black
20796,Cat,1460,Domestic Shorthair Mix,Black/White
20797,Dog,180,Miniature Schnauzer/Miniature Poodle,Gray/Tan
20798,Cat,60,Domestic Shorthair Mix,Black
20799,Dog,2555,Labrador Retriever Mix,Black
20800,Dog,4015,Parson Russell Terrier,White/Tricolor
20801,Dog,365,German Shepherd Mix,Black/Tan
20802,Dog,1460,Pit Bull/Boxer,Brown/White
20803,Cat,180,Domestic Shorthair Mix,Brown Tabby/White
20804,Dog,270,Labrador Retriever Mix,Buff
20805,Cat,210,Domestic Shorthair Mix,Tortie
20806,Cat,90,Domestic Shorthair Mix,Black/White
20807,Cat,1,Domestic Shorthair Mix,Black
20808,Dog,330,Labrador Retriever Mix,Black/White
20809,Dog,3650,Dachshund Mix,Red
20810,Dog,30,Labrador Retriever/Plott Hound,Brown/White
20811,Cat,60,Domestic Shorthair Mix,Black
20812,Dog,365,Dachshund Mix,White/Brown
20813,Cat,180,Domestic Shorthair Mix,Brown Tabby/White
20814,Dog,365,Australian Cattle Dog Mix,Chocolate/White
20815,Dog,365,Siberian Husky/Pit Bull,Tan/White
20816,Cat,30,Domestic Medium Hair Mix,Black
20817,Cat,60,Domestic Shorthair Mix,Cream Tabby
20818,Cat,365,Domestic Shorthair Mix,Blue Tabby/White
20819,Dog,28,Boston Terrier/Chihuahua Shorthair,White/Buff
20820,Dog,365,German Shepherd Mix,Black/Tan
20821,Cat,330,Domestic Shorthair Mix,Black/White
20822,Dog,4380,Labrador Retriever Mix,Black
20823,Cat,60,Himalayan Mix,Tortie Point
20824,Cat,365,Domestic Shorthair Mix,Black
20825,Cat,5110,Domestic Longhair Mix,Torbie
20826,Cat,60,Domestic Shorthair Mix,Black/White
20827,Cat,14,Domestic Shorthair Mix,Black/White
20828,Cat,2555,Domestic Medium Hair Mix,Blue Tabby/White
20829,Dog,3285,Jack Russell Terrier Mix,White/Brown
20830,Cat,1095,Domestic Shorthair Mix,White/Black
20831,Cat,1460,Domestic Shorthair Mix,Orange Tabby/White
20832,Dog,120,Dachshund,Chocolate/Tan
20833,Cat,60,Domestic Shorthair Mix,Black/White
20834,Dog,365,Yorkshire Terrier Mix,Black/Cream
20835,Cat,730,Siamese Mix,Seal Point
20836,Dog,1095,Chihuahua Shorthair Mix,Brown/White
20837,Dog,2920,Chihuahua Shorthair Mix,Black/Tan
20838,Dog,730,Labrador Retriever Mix,Black
20839,Cat,180,Domestic Shorthair Mix,Tortie
20840,Dog,365,Border Collie Mix,Black/White
20841,Cat,730,Domestic Shorthair,Calico/White
20842,Dog,1825,Chihuahua Longhair/Cardigan Welsh Corgi,Black/Tan
20843,Cat,60,Domestic Shorthair Mix,Brown Tabby
20844,Dog,300,Chihuahua Shorthair Mix,Brown
20845,Dog,1825,German Shepherd Mix,White
20846,Dog,2190,German Shepherd/Chinese Sharpei,Blue Merle
20847,Cat,60,Domestic Shorthair Mix,Orange Tabby
20848,Dog,1460,Chihuahua Longhair Mix,Tricolor
20849,Cat,365,Domestic Longhair Mix,Brown Tabby/White
20850,Dog,180,Cardigan Welsh Corgi Mix,White/Red
20851,Dog,3650,Pit Bull Mix,Red/White
20852,Dog,60,Bull Terrier Mix,Tan/White
20853,Dog,60,Black Mouth Cur Mix,Buff
20854,Dog,730,Labrador Retriever Mix,Black
20855,Cat,3650,Domestic Longhair Mix,Blue Tabby
20856,Dog,730,Labrador Retriever/German Shepherd,Chocolate/Tan
20857,Dog,4015,Pit Bull,Brown Brindle/White
20858,Cat,1460,Domestic Shorthair Mix,Blue Tabby
20859,Dog,365,Pit Bull Mix,Blue
20860,Cat,365,Domestic Shorthair Mix,Blue/White
20861,Dog,60,Chesa Bay Retr Mix,Brown/Black
20862,Cat,28,Domestic Shorthair Mix,Brown Tabby
20863,Dog,730,Chihuahua Shorthair Mix,Tan
20864,Dog,1095,Dachshund Mix,Tricolor/Black
20865,Cat,730,Domestic Shorthair Mix,White/Blue
20866,Dog,730,German Shepherd/Labrador Retriever,Black
20867,Dog,730,Pit Bull Mix,White/Blue
20868,Dog,1095,Chihuahua Shorthair Mix,Chocolate/Tan
20869,Cat,7300,Domestic Medium Hair Mix,Calico
20870,Dog,2555,Australian Kelpie Mix,Brown/White
20871,Cat,60,Domestic Medium Hair Mix,Calico
20872,Dog,1095,Pomeranian Mix,Red
20873,Dog,60,Labrador Retriever Mix,Blue/Tan
20874,Dog,6205,Pit Bull Mix,Brown Brindle
20875,Dog,365,American Pit Bull Terrier Mix,Brown Brindle
20876,Dog,365,Labrador Retriever Mix,Chocolate
20877,Dog,365,Border Collie Mix,Chocolate/White
20878,Dog,4380,Pit Bull Mix,Brown/White
20879,Cat,60,Domestic Shorthair Mix,Black
20880,Cat,120,Domestic Shorthair Mix,Blue
20881,Cat,60,Domestic Shorthair Mix,Brown Tabby
20882,Dog,1825,Labrador Retriever Mix,Black/White
20883,Cat,60,Domestic Shorthair,Orange Tabby
20884,Dog,1825,Alaskan Husky/Australian Shepherd,Gray/White
20885,Cat,7,Domestic Shorthair Mix,Brown Tabby
20886,Cat,60,Domestic Shorthair Mix,Brown Tabby/White
20887,Cat,90,Domestic Shorthair Mix,Calico
20888,Dog,240,Siberian Husky Mix,Red/White
20889,Dog,365,Dachshund Mix,Red/White
20890,Cat,730,Domestic Shorthair Mix,Black/White
20891,Cat,90,Domestic Shorthair Mix,Calico
20892,Dog,240,Lhasa Apso Mix,Cream/Tan
20893,Dog,330,Siberian Husky/German Shepherd,Buff
20894,Dog,730,Chow Chow/Pit Bull,Brown Brindle
20895,Cat,730,Domestic Shorthair Mix,Gray
20896,Dog,1460,Dachshund Mix,Red
20897,Cat,60,Snowshoe Mix,Blue Point
20898,Dog,180,Labrador Retriever Mix,Tan/White
20899,Dog,120,Bluetick Hound Mix,Blue Tick/Tan
20900,Dog,2190,American Staffordshire Terrier Mix,Blue/White
20901,Dog,730,Chihuahua Shorthair Mix,Black
20902,Dog,1460,Boxer,Brown/White
20903,Dog,730,Chihuahua Shorthair Mix,White/Chocolate
20904,Cat,90,Domestic Shorthair Mix,Calico
20905,Cat,365,Domestic Shorthair Mix,Tortie
20906,Dog,730,Chihuahua Shorthair Mix,Tan/White
20907,Cat,365,Domestic Shorthair Mix,Brown Tabby
20908,Cat,30,Domestic Shorthair Mix,Cream Tabby
20909,Cat,730,Domestic Shorthair Mix,Orange Tabby
20910,Cat,60,Domestic Longhair Mix,Black
20911,Dog,3650,Beagle Mix,Tan/White
20912,Cat,180,Domestic Medium Hair Mix,Tortie
20913,Dog,60,Chihuahua Shorthair Mix,Cream/White
20914,Cat,30,Domestic Shorthair Mix,Tortie
20915,Dog,730,Chihuahua Shorthair Mix,Tricolor
20916,Cat,1460,Manx Mix,Blue
20917,Dog,365,Whippet Mix,Brown Brindle
20918,Dog,3285,Beagle Mix,Buff/Yellow
20919,Cat,90,Domestic Medium Hair Mix,Brown Tabby
20920,Dog,2190,Labrador Retriever/Chinese Sharpei,Tan
20921,Cat,365,Snowshoe Mix,Blue Point
20922,Dog,2555,Pit Bull Mix,White/Tan
20923,Cat,730,Domestic Shorthair Mix,Brown Tabby/White
20924,Dog,150,Pembroke Welsh Corgi/German Shepherd,Tricolor
20925,Dog,300,Chihuahua Shorthair Mix,Brown
20926,Dog,365,Miniature Poodle Mix,Apricot
20927,Dog,4380,Cocker Spaniel,Black
20928,Dog,365,Labrador Retriever/Australian Shepherd,White/Brown Brindle
20929,Dog,365,Pit Bull Mix,Tan/White
20930,Dog,365,Dachshund/Rat Terrier,White/Chocolate
20931,Cat,60,Domestic Shorthair Mix,Blue Tabby/White
20932,Cat,730,Domestic Shorthair Mix,Black/White
20933,Cat,120,Domestic Shorthair Mix,Calico
20934,Dog,60,Labrador Retriever/Pointer,White/Black
20935,Cat,21,Domestic Shorthair Mix,Blue
20936,Cat,60,Domestic Shorthair Mix,Orange Tabby/White
20937,Dog,1095,Labrador Retriever/German Shepherd,Black/White
20938,Dog,730,Pit Bull Mix,Brown/White
20939,Dog,1095,Rottweiler/Australian Cattle Dog,Brown/Black
20940,Dog,730,American Bulldog Mix,Blue/White
20941,Dog,1095,Pit Bull Mix,White/Brown
20942,Dog,1095,Golden Retriever Mix,Gold
20943,Cat,300,Domestic Shorthair Mix,Calico
20944,Dog,3650,German Shorthair Pointer Mix,White/Chocolate
20945,Cat,2,Domestic Shorthair Mix,Black/White
20946,Dog,730,Pit Bull Mix,Chocolate/White
20947,Dog,60,Labrador Retriever/Pointer,Black
20948,Dog,3285,Pit Bull,Gold/White
20949,Dog,730,Australian Shepherd Mix,Brown/White
20950,Dog,730,Pit Bull Mix,Brown Brindle
20951,Cat,60,Domestic Shorthair Mix,Brown Tabby/White
20952,Dog,730,Labrador Retriever Mix,Yellow
20953,Cat,730,Domestic Shorthair Mix,Black/White
20954,Cat,60,Domestic Shorthair Mix,Cream Tabby/White
20955,Cat,120,Domestic Shorthair Mix,Blue
20956,Dog,730,Pit Bull/Boxer,Black/White
20957,Cat,365,Domestic Shorthair Mix,Torbie
20958,Dog,730,Dachshund Mix,Black/Brown
20959,Dog,730,Australian Shepherd Mix,Black/Tan
20960,Dog,4745,Chihuahua Shorthair Mix,Brown
20961,Dog,120,Pit Bull Mix,Brown Brindle/White
20962,Dog,365,Rat Terrier/Chihuahua Shorthair,Black/White
20963,Dog,1095,Australian Shepherd/Rottweiler,Brown
20964,Cat,1460,Domestic Shorthair Mix,Tortie
20965,Cat,90,Domestic Shorthair Mix,Brown Tabby/White
20966,Dog,730,Staffordshire Mix,Blue/White
20967,Dog,60,Labrador Retriever Mix,Red
20968,Dog,730,Manchester Terrier/Beagle,Black/Tan
20969,Cat,90,Domestic Shorthair Mix,Blue Tabby/White
20970,Dog,365,Catahoula Mix,White/Brown
20971,Dog,730,Chihuahua Shorthair Mix,Tan
20972,Cat,30,Domestic Shorthair Mix,Blue Tabby
20973,Cat,180,Domestic Medium Hair Mix,Tortie/Black Smoke
20974,Dog,365,Labrador Retriever,Black
20975,Dog,270,Pit Bull Mix,Blue/White
20976,Cat,1095,Domestic Shorthair Mix,Brown Tabby/White
20977,Cat,90,Domestic Medium Hair Mix,Tortie
20978,Dog,730,Dachshund Mix,White/Brown
20979,Cat,730,Domestic Shorthair Mix,Black/White
20980,Dog,90,German Shepherd Mix,Black/Brown
20981,Cat,730,Domestic Shorthair Mix,Torbie
20982,Cat,60,Domestic Shorthair Mix,Brown Tabby
20983,Dog,365,Pit Bull Mix,Blue/White
20984,Cat,90,Domestic Shorthair Mix,Brown Tabby
20985,Dog,60,Weimaraner Mix,Chocolate
20986,Dog,365,German Shepherd Mix,Black/Tan
20987,Cat,365,Domestic Shorthair Mix,Brown Tabby
20988,Dog,365,Pit Bull Mix,Blue/White
20989,Cat,1,Domestic Shorthair Mix,Orange Tabby
20990,Dog,730,Chihuahua Shorthair Mix,Tan
20991,Dog,1825,German Shepherd Mix,Tan/Black
20992,Dog,1095,German Shepherd Mix,Black/Brown
20993,Dog,300,Australian Shepherd Mix,Tricolor
20994,Cat,30,Domestic Medium Hair Mix,Orange Tabby
20995,Cat,7,Domestic Shorthair Mix,Orange/Orange Tabby
20996,Cat,14,Domestic Shorthair Mix,Brown Tabby
20997,Dog,1095,Saluki Mix,Brown/White
20998,Dog,2190,German Shepherd,Black/Brown
20999,Dog,730,Boxer/American Bulldog,White/Brown
21000,Dog,365,Chihuahua Shorthair Mix,Red/Black
21001,Cat,3650,Domestic Shorthair Mix,Orange Tabby
21002,Dog,180,Pit Bull Mix,White/Black
21003,Cat,30,Domestic Shorthair Mix,Brown Tabby/White
21004,Dog,300,Labrador Retriever Mix,Yellow
21005,Cat,60,Domestic Shorthair Mix,Brown Tabby
21006,Cat,730,Domestic Shorthair Mix,Black
21007,Dog,730,Australian Cattle Dog Mix,White/Brown Brindle
21008,Cat,730,Domestic Shorthair Mix,Orange Tabby/White
21009,Cat,90,Domestic Shorthair Mix,Brown Tabby/White
21010,Dog,730,Australian Kelpie Mix,Black/Tan
21011,Dog,730,Australian Cattle Dog Mix,Red Tick/White
21012,Cat,90,Domestic Shorthair Mix,Brown Tabby/White
21013,Dog,210,Boxer Mix,Fawn/White
21014,Cat,14,Domestic Shorthair Mix,Orange Tabby
21015,Dog,730,Chihuahua Shorthair Mix,White/Cream
21016,Dog,2920,Pit Bull Mix,Brown/White
21017,Cat,60,Domestic Shorthair Mix,White/Blue
21018,Dog,60,Labrador Retriever Mix,Chocolate
21019,Dog,730,Rottweiler/Basset Hound,Black/Brown
21020,Dog,60,Miniature Schnauzer/Miniature Poodle,White/Buff
21021,Dog,180,Chihuahua Shorthair/Cardigan Welsh Corgi,Brown/White
21022,Dog,2920,Chihuahua Shorthair Mix,Yellow
21023,Cat,365,Domestic Shorthair Mix,Brown Tabby
21024,Dog,365,Shiba Inu Mix,Tan
21025,Dog,270,Pit Bull Mix,Brown Brindle/White
21026,Cat,730,Domestic Shorthair,White/Black
21027,Cat,30,Domestic Shorthair Mix,Black
21028,Dog,3285,Miniature Schnauzer,White
21029,Dog,365,German Shepherd/Siberian Husky,Sable
21030,Dog,365,Chihuahua Shorthair/Pug,Brown
21031,Dog,1095,Greyhound Mix,Yellow Brindle/White
21032,Cat,1095,Domestic Shorthair Mix,Brown Tabby
21033,Dog,60,Border Collie Mix,Brown/White
21034,Dog,1825,Chihuahua Shorthair Mix,Tan/White
21035,Dog,60,Dachshund/Chihuahua Shorthair,Red/White
21036,Dog,365,Cocker Spaniel/Chihuahua Shorthair,White/White
21037,Cat,90,Domestic Shorthair Mix,Brown Tabby/White
21038,Dog,730,Pit Bull Mix,White
21039,Dog,3,Pit Bull Mix,Brown/White
21040,Dog,120,Manchester Terrier/Dachshund,Tricolor
21041,Dog,365,Chihuahua Shorthair Mix,Red/White
21042,Cat,90,Domestic Shorthair Mix,Black
21043,Dog,180,Catahoula Mix,White/Brown
21044,Cat,60,Domestic Shorthair Mix,Black
21045,Dog,2190,Rottweiler/Australian Cattle Dog,Tricolor
21046,Dog,270,Feist Mix,Tan/White
21047,Cat,210,Domestic Shorthair Mix,Brown Tabby
21048,Cat,730,Domestic Shorthair Mix,Cream Tabby
21049,Dog,300,Labrador Retriever Mix,Black/White
21050,Dog,270,Labrador Retriever/Queensland Heeler,Black/White
21051,Dog,730,Collie Smooth Mix,Brown/White
21052,Dog,2190,Dachshund Longhair Mix,Red
21053,Dog,365,German Shepherd Mix,Black/Brown
21054,Dog,365,Beagle/Labrador Retriever,Sable/White
21055,Dog,180,German Shepherd/Labrador Retriever,Black/White
21056,Cat,90,Domestic Shorthair Mix,Orange Tabby/White
21057,Dog,60,Pit Bull Mix,Brown Brindle/White
21058,Cat,150,Domestic Shorthair Mix,Orange Tabby/White
21059,Dog,60,Labrador Retriever Mix,Tricolor
21060,Cat,2555,Domestic Longhair Mix,Calico Point
21061,Cat,60,Domestic Shorthair Mix,Blue Tabby
21062,Dog,730,Pit Bull/Labrador Retriever,Brown/White
21063,Dog,365,Basset Hound,White/Black
21064,Cat,21,Domestic Shorthair Mix,Orange Tabby/White
21065,Dog,150,Beagle Mix,Tan/White
21066,Cat,21,Domestic Shorthair Mix,Black
21067,Cat,28,Domestic Shorthair Mix,Brown Tabby/White
21068,Cat,60,Domestic Shorthair Mix,Black
21069,Dog,365,Standard Poodle/Labrador Retriever,Black
21070,Cat,210,Domestic Shorthair Mix,Brown Tabby
21071,Dog,1095,Great Pyrenees Mix,White/Gold
21072,Cat,90,Domestic Shorthair Mix,Calico
21073,Dog,365,Flat Coat Retriever Mix,Black/White
21074,Cat,60,Domestic Shorthair Mix,White/Brown Tabby
21075,Dog,60,Labrador Retriever Mix,Blue Merle
21076,Cat,1,Domestic Shorthair Mix,Calico
21077,Cat,14,Domestic Shorthair Mix,Blue
21078,Dog,1825,Pit Bull Mix,Brown
21079,Cat,3650,American Shorthair Mix,Chocolate Point
21080,Dog,730,American Staffordshire Terrier Mix,Brown/Black
21081,Dog,1095,Labrador Retriever Mix,Chocolate
21082,Dog,1460,Labrador Retriever Mix,Red/Brown
21083,Dog,120,Chihuahua Shorthair Mix,Blue/Tan
21084,Cat,21,Domestic Shorthair Mix,Brown Tabby/White
21085,Dog,90,Labrador Retriever/Chow Chow,Yellow
21086,Dog,730,Chihuahua Shorthair Mix,Red
21087,Cat,14,Domestic Shorthair Mix,Calico
21088,Dog,1095,Pit Bull Mix,Brown Brindle/White
21089,Dog,60,Australian Kelpie Mix,Black/White
21090,Cat,365,Domestic Shorthair Mix,Brown Tabby
21091,Dog,180,Chihuahua Shorthair Mix,White/Brown
21092,Dog,365,Pug Mix,Yellow
21093,Dog,30,German Shepherd Mix,Black/Brown Brindle
21094,Dog,2920,Weimaraner Mix,Fawn
21095,Dog,365,Australian Shepherd Mix,Blue Merle/White
21096,Cat,365,Domestic Shorthair Mix,Calico
21097,Dog,90,Chihuahua Shorthair Mix,Tan
21098,Dog,2190,Miniature Poodle,White
21099,Dog,330,German Shepherd Mix,Black/White
21100,Cat,30,Domestic Shorthair Mix,Black/White
21101,Dog,180,Cavalier Span/Papillon,White/Brown
21102,Cat,28,Domestic Shorthair Mix,Brown Tabby
21103,Dog,240,Australian Kelpie Mix,Tricolor
21104,Cat,21,Domestic Medium Hair Mix,Orange Tabby
21105,Dog,730,Pit Bull Mix,Tan/White
21106,Dog,2555,Chihuahua Shorthair Mix,White/Brown Brindle
21107,Dog,90,Jack Russell Terrier Mix,Liver/White
21108,Cat,30,Domestic Medium Hair,Blue Tabby/White
21109,Cat,730,Domestic Shorthair Mix,Orange Tabby/White
21110,Dog,3650,Pharaoh Hound/Australian Cattle Dog,Tan/White
21111,Cat,730,Domestic Shorthair Mix,Brown Tabby/White
21112,Cat,28,Domestic Shorthair Mix,Orange Tabby/White
21113,Dog,60,Beagle Mix,Tricolor
21114,Dog,270,Pointer/Pit Bull,White/Brown
21115,Dog,30,Chihuahua Shorthair Mix,Tricolor
21116,Dog,1460,Pit Bull Mix,Black/White
21117,Dog,150,Australian Shepherd Mix,Brown/White
21118,Dog,1825,Australian Shepherd/Beagle,Blue Merle/Tan
21119,Dog,365,Rottweiler,Black/Tan
21120,Dog,365,Labrador Retriever Mix,Black/White
21121,Cat,60,Domestic Medium Hair Mix,Brown Tabby
21122,Dog,730,Chihuahua Shorthair Mix,Black/Tan
21123,Dog,30,Chihuahua Shorthair/German Shepherd,Brown/Black
21124,Dog,365,Labrador Retriever Mix,Yellow
21125,Dog,2555,Chihuahua Shorthair/Rat Terrier,White/Tan
21126,Dog,365,Black Mouth Cur,Gold
21127,Dog,730,Chihuahua Shorthair Mix,Red/White
21128,Cat,150,Domestic Shorthair Mix,Black/White
21129,Cat,21,Domestic Shorthair Mix,Calico
21130,Cat,7,Domestic Shorthair Mix,Orange/White
21131,Dog,4015,Golden Retriever Mix,Gold
21132,Dog,730,Toy Poodle,White
21133,Dog,365,Australian Cattle Dog/Belgian Malinois,Blue Merle/Tan
21134,Dog,270,Border Terrier/Yorkshire Terrier,Tan
21135,Dog,365,Labrador Retriever Mix,Black/White
21136,Dog,730,Labrador Retriever Mix,Yellow
21137,Cat,90,Domestic Medium Hair Mix,Brown Tabby/White
21138,Dog,365,Dachshund Longhair Mix,Black/Brown
21139,Cat,60,Domestic Shorthair Mix,White/Black
21140,Dog,730,Harrier Mix,Black/Tan
21141,Cat,60,Domestic Medium Hair Mix,Brown Tabby/White
21142,Cat,365,Domestic Shorthair Mix,Brown Tabby
21143,Dog,1460,Rhod Ridgeback/Labrador Retriever,Brown
21144,Dog,365,Pit Bull Mix,Brown/White
21145,Dog,2920,Australian Cattle Dog,Blue Tick/Brown
21146,Cat,21,Domestic Shorthair Mix,Blue
21147,Cat,60,Domestic Shorthair Mix,Orange Tabby
21148,Dog,60,American Pit Bull Terrier Mix,White/Brown Brindle
21149,Cat,90,Domestic Shorthair Mix,Orange Tabby/White
21150,Cat,90,Domestic Shorthair Mix,Brown Tabby
21151,Dog,730,Catahoula Mix,Blue Merle/Brown
21152,Dog,180,Pointer Mix,Tan/White
21153,Cat,1095,Domestic Shorthair Mix,Blue
21154,Dog,1095,Labrador Retriever Mix,Brown
21155,Cat,3650,Domestic Shorthair Mix,Black/White
21156,Cat,2190,Domestic Longhair Mix,Blue/White
21157,Cat,60,Domestic Shorthair Mix,Orange Tabby/White
21158,Cat,120,Domestic Shorthair Mix,Orange Tabby/White
21159,Dog,1825,Japanese Chin,White/Tan
21160,Dog,730,Pit Bull/Catahoula,Brown Merle/White
21161,Dog,1095,American Staffordshire Terrier Mix,White/Blue
21162,Cat,2,Domestic Shorthair Mix,Blue
21163,Dog,60,Labrador Retriever Mix,Black/White
21164,Cat,1825,Domestic Shorthair,Black/White
21165,Dog,1825,Beagle,Brown/White
21166,Cat,21,Domestic Shorthair Mix,Black
21167,Cat,150,Domestic Longhair Mix,Orange Tabby/White
21168,Cat,365,Domestic Shorthair Mix,Orange Tabby
21169,Cat,30,Domestic Shorthair Mix,Brown Tabby/White
21170,Dog,270,Chihuahua Shorthair/Dachshund,Black/Brown
21171,Dog,60,Pit Bull/Chihuahua Shorthair,Tan/White
21172,Dog,1095,Beagle/Pembroke Welsh Corgi,Tan/White
21173,Cat,730,Domestic Longhair Mix,Brown Tabby/White
21174,Dog,1825,Siberian Husky Mix,Brown/Tan
21175,Cat,150,Domestic Shorthair Mix,Black
21176,Dog,365,Rat Terrier Mix,White/Black
21177,Dog,1095,Chihuahua Shorthair,Tricolor
21178,Dog,365,Mastiff Mix,Tan/Black
21179,Cat,365,Domestic Longhair Mix,Orange Tabby
21180,Cat,60,Domestic Shorthair Mix,Black
21181,Dog,1095,Chihuahua Shorthair,White/Tan
21182,Cat,30,Domestic Medium Hair Mix,Black
21183,Dog,365,Rhod Ridgeback/Pit Bull,White/Brown
21184,Dog,365,Carolina Dog Mix,Tan/White
21185,Dog,730,Chihuahua Shorthair Mix,Black/Brown
21186,Cat,14,Domestic Shorthair Mix,Brown Tabby
21187,Dog,4380,Dachshund Mix,Black/Black Brindle
21188,Dog,60,Labrador Retriever/Anatol Shepherd,White/Tan
21189,Dog,60,Labrador Retriever Mix,Black/White
21190,Cat,90,Domestic Shorthair Mix,Black
21191,Cat,90,Domestic Shorthair Mix,Brown Tabby
21192,Cat,90,Domestic Shorthair Mix,Black
21193,Dog,90,Chihuahua Shorthair Mix,Buff
21194,Cat,30,Domestic Shorthair Mix,Orange Tabby
21195,Dog,300,Australian Cattle Dog/Labrador Retriever,Red/White
21196,Dog,1095,Pit Bull Mix,Brown Brindle
21197,Dog,2190,Dachshund,Tricolor
21198,Dog,365,Golden Retriever Mix,Red
21199,Cat,120,Domestic Shorthair Mix,Black
21200,Dog,60,Labrador Retriever/Anatol Shepherd,Tan/White
21201,Dog,4380,Miniature Schnauzer Mix,Black/Brown Brindle
21202,Dog,150,Pit Bull Mix,Brown/White
21203,Cat,28,Domestic Shorthair Mix,Orange Tabby
21204,Dog,300,Catahoula/Pointer,Black/White
21205,Dog,270,Labrador Retriever Mix,Black/White
21206,Cat,60,Siamese Mix,Flame Point
21207,Cat,180,Domestic Medium Hair Mix,Black
21208,Dog,365,Pit Bull Mix,Black/White
21209,Cat,730,Domestic Shorthair Mix,White/Blue
21210,Dog,150,Leonberger Mix,Brown/White
21211,Cat,730,Domestic Shorthair Mix,Brown Tabby
21212,Dog,60,Cairn Terrier Mix,Brown Brindle/White
21213,Dog,60,Chihuahua Shorthair Mix,Brown
21214,Cat,365,Domestic Shorthair Mix,Silver Tabby
21215,Dog,1095,Pit Bull/Boston Terrier,White/Black
21216,Cat,60,Domestic Shorthair Mix,Torbie
21217,Cat,730,Domestic Shorthair Mix,Orange Tabby/White
21218,Dog,730,Chihuahua Shorthair Mix,Tan/White
21219,Dog,180,Catahoula/Boxer,Blue Merle
21220,Cat,60,Domestic Medium Hair Mix,Black/White
21221,Cat,730,Domestic Shorthair Mix,Brown Tabby
21222,Dog,365,Chihuahua Shorthair/Dachshund,Black
21223,Cat,730,Domestic Shorthair Mix,Brown Tabby
21224,Cat,365,Russian Blue,Blue
21225,Dog,365,Pit Bull,Black/White
21226,Cat,4745,Domestic Longhair Mix,Black
21227,Cat,60,Domestic Shorthair Mix,Black/White
21228,Dog,21,Chihuahua Shorthair,White
21229,Cat,365,Domestic Shorthair Mix,Black/White
21230,Dog,365,Australian Cattle Dog Mix,Sable/Black
21231,Cat,240,Domestic Shorthair Mix,Chocolate
21232,Dog,300,Chihuahua Shorthair/Boston Terrier,Brown Brindle/White
21233,Dog,730,American Staffordshire Terrier Mix,Blue/White
21234,Dog,300,Welsh Terrier Mix,Black/Brown
21235,Cat,150,Domestic Shorthair Mix,Cream Tabby
21236,Cat,60,Siamese Mix,Lynx Point
21237,Cat,1095,Domestic Shorthair Mix,Black
21238,Cat,365,Domestic Shorthair Mix,Brown Tabby
21239,Dog,1095,Border Collie/Beagle,Black/White
21240,Cat,120,Domestic Shorthair Mix,Blue Tabby/White
21241,Dog,1095,Queensland Heeler Mix,Brown Brindle/Red Tick
21242,Dog,365,Labrador Retriever Mix,Black/White
21243,Dog,730,German Shepherd Mix,Red/Tan
21244,Dog,730,Miniature Poodle/Maltese,Cream
21245,Cat,60,Domestic Shorthair Mix,Blue/White
21246,Dog,365,Dachshund Mix,Black/Brown
21247,Cat,60,Domestic Longhair,Orange Tabby/White
21248,Dog,365,Chihuahua Longhair/Cardigan Welsh Corgi,Sable
21249,Dog,1095,Chihuahua Shorthair Mix,White/Brown
21250,Cat,21,Domestic Shorthair Mix,Calico
21251,Cat,730,Siamese Mix,Chocolate Point
21252,Cat,730,Domestic Shorthair Mix,Blue/White
21253,Dog,30,Chihuahua Shorthair Mix,Black/Tan
21254,Dog,730,German Shepherd/Labrador Retriever,Black
21255,Dog,4745,Border Collie Mix,Black/White
21256,Cat,90,Domestic Shorthair Mix,Black/White
21257,Cat,30,Domestic Medium Hair Mix,Brown Tabby
21258,Cat,4745,Domestic Longhair Mix,Calico/White
21259,Dog,210,American Bulldog Mix,Brown/White
21260,Dog,730,Pit Bull Mix,Black/White
21261,Dog,1825,Whippet/Labrador Retriever,Yellow
21262,Cat,730,Siamese Mix,Blue Point
21263,Dog,365,Dachshund Mix,White/Tan
21264,Cat,1095,Siamese Mix,Calico Point
21265,Cat,730,Bombay Mix,Black
21266,Dog,730,Pit Bull Mix,White/Blue
21267,Cat,28,Domestic Shorthair Mix,Black
21268,Dog,90,Labrador Retriever Mix,Chocolate/White
21269,Dog,60,Border Collie/Labrador Retriever,Black/White
21270,Cat,730,Domestic Shorthair Mix,Orange Tabby
21271,Dog,1460,Miniature Poodle Mix,Cream/Tan
21272,Dog,150,Border Terrier/Chihuahua Longhair,Black
21273,Cat,60,Domestic Shorthair Mix,Calico
21274,Dog,270,Rat Terrier/Chihuahua Longhair,Black/Tan
21275,Dog,180,Labrador Retriever/Australian Shepherd,Black
21276,Dog,730,Chihuahua Shorthair Mix,Tan
21277,Cat,4015,Maine Coon Mix,Blue/White
21278,Dog,3650,Chihuahua Shorthair Mix,Tan
21279,Cat,4,Domestic Shorthair Mix,Blue Tabby
